"filename", "language", "Ignore", "YAML", "JSON", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "Markdown", "vue", "XML", "comment", "blank", "total"
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\.prettierignore", "Ignore", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\.prettierrc", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\package.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\src\components\ItemDisplay.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 11, 140
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\src\style.css", "PostCSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\tsconfig.app.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\tsconfig.node.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\accounting-inventory-widget\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\src\components\ItemCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 13, 131
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\src\layouts\VehicleForm.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\src\style.css", "PostCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\src\views\AddVehicle.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 366, 0, 0, 28, 394
